x,y,yaw,0.266,2.151,0.002
-4206.159,1707.518,-1.487,-13.047,-0.336,-0.048
-4206.553,1707.466,-1.49,-15.184,-0.827,-0.07
-4206.894,1707.661,-1.493,-16.456,1.301,-0.089
-4207.193,1707.829,-1.494,-17.122,2.841,-0.087
-4207.42,1707.847,-1.497,-16.935,2.61,-0.105
-4207.689,1707.887,-1.5,-17.221,2.639,-0.113
-4207.892,1707.917,-1.502,-16.77,2.559,-0.119
-4208.234,1708.031,-1.502,-17.827,3.357,-0.097
-4208.508,1708.131,-1.503,-18.028,3.888,-0.091
-4208.906,1708.063,-1.502,-19.468,2.621,-0.071
-4208.931,1708.073,-1.503,-16.868,2.337,-0.067
-4209.222,1708.083,-1.504,-17.377,2.092,-0.068
-4209.229,1708.127,-1.503,-14.893,2.244,-0.048
-4209.351,1708.351,-1.503,-13.959,4.222,-0.042
-4209.493,1708.547,-1.503,-13.37,5.615,-0.039
-4209.745,1708.57,-1.504,-14,5.021,-0.038
-4210.014,1708.706,-1.505,-14.706,5.688,-0.043
-4210.238,1708.728,-1.506,-14.856,5.074,-0.044
-4210.615,1708.693,-1.507,-16.546,3.967,-0.052
-4211.148,1709.091,-1.509,-19.606,7.479,-0.057
-4211.585,1709.027,-1.51,-21.226,5.723,-0.065
-4211.844,1708.796,-1.512,-20.76,2.507,-0.076
-4212.472,1708.758,-1.513,-24.171,1.741,-0.066
-4213.036,1708.912,-1.513,-26.423,3.073,-0.057
-4213.343,1709.13,-1.513,-25.707,4.869,-0.05
-4214.009,1709.227,-1.512,-28.781,5.154,-0.04
-4214.519,1709.445,-1.513,-29.792,6.635,-0.039
-4215.279,1709.448,-1.512,-33.236,5.69,-0.023
-4216.256,1709.74,-1.511,-38.407,7.861,-0.013
-4217.311,1710.136,-1.51,-43.623,10.78,-0.004
-4218.465,1710.121,-1.51,-49.082,9.042,0.005
-4219.462,1710.381,-1.508,-52.133,10.389,0.018
-4220.744,1710.809,-1.506,-57.656,13.268,0.036
-4221.748,1711.156,-1.504,-59.519,14.885,0.049
