x,y,t,0.429,2.464,-0.002
-4364.988,-1444.06,1.563,-2.036,-0.105,0
-4365.01,-1443.958,1.563,-1.965,0.961,0.001
-4365.006,-1443.91,1.562,-1.63,1.312,-0.006
-4364.96,-1443.925,1.562,-0.922,0.969,-0.005
-4365.009,-1443.918,1.562,-1.287,0.891,-0.001
-4365.006,-1443.992,1.562,-1.071,0.002,-0.007
-4364.979,-1444.035,1.561,-0.629,-0.44,-0.016
-4364.993,-1444.03,1.561,-0.689,-0.324,-0.008
-4364.839,-1443.999,1.562,0.997,0.039,-0.001
-4364.911,-1444.034,1.563,0.117,-0.324,0.009
-4364.809,-1444.087,1.563,1.147,-0.825,0.005
-4364.75,-1444.191,1.563,1.589,-1.767,0.009
-4364.714,-1444.179,1.563,1.717,-1.389,0.008
-4364.733,-1444.14,1.563,1.272,-0.778,0.003
-4364.676,-1444.146,1.563,1.669,-0.727,0.004
-4364.599,-1444.112,1.562,2.219,-0.272,-0.003
-4364.65,-1444.202,1.562,1.366,-1.16,-0.005
-4364.625,-1444.157,1.562,1.421,-0.525,-0.004
-4364.563,-1444.232,1.561,1.851,-1.221,-0.009
-4364.588,-1444.229,1.562,1.32,-1.013,-0.003
-4364.618,-1444.158,1.563,0.826,-0.127,0.007
-4364.738,-1444.034,1.563,-0.534,1.171,0.007
-4364.703,-1444.038,1.563,-0.092,0.954,0.002
-4364.655,-1444.067,1.562,0.415,0.512,0
-4364.634,-1444.091,1.562,0.563,0.191,0
-4364.818,-1444.01,1.563,-1.413,0.999,0.007
-4364.827,-1444.014,1.563,-1.289,0.808,0.004
-4364.882,-1444.014,1.562,-1.671,0.689,-0.004
-4364.906,-1443.924,1.563,-1.675,1.52,0.002
-4364.924,-1443.972,1.561,-1.617,0.796,-0.011
-4364.876,-1443.899,1.562,-0.878,1.437,-0.006
-4364.848,-1444.083,1.561,-0.463,-0.679,-0.01
-4364.812,-1444.123,1.562,-0.028,-0.984,-0.001
-4364.826,-1444.011,1.562,-0.16,0.317,-0.004
-4364.804,-1443.983,1.562,0.083,0.558,-0.001
-4364.834,-1444.054,1.562,-0.238,-0.261,0.004
-4364.798,-1444.022,1.562,0.166,0.113,-0.002
-4364.79,-1444.021,1.562,0.234,0.105,-0.002
-4364.755,-1444.099,1.562,0.549,-0.716,-0.003
-4364.831,-1444.009,1.562,-0.302,0.318,-0.002
-4364.927,-1443.915,1.562,-1.252,1.236,-0.001
-4364.865,-1443.848,1.562,-0.428,1.743,0.001
-4364.894,-1443.87,1.561,-0.665,1.263,-0.008
-4364.856,-1443.921,1.562,-0.183,0.554,0.004
-4364.744,-1443.911,1.562,1.009,0.576,0.003
-4364.713,-1443.979,1.562,1.173,-0.209,0.001
-4364.742,-1443.966,1.562,0.707,-0.045,-0.003
-4364.725,-1443.918,1.562,0.772,0.449,0.004
-4364.704,-1443.898,1.563,0.875,0.596,0.007
-4364.736,-1443.948,1.562,0.415,-0.006,0.002
-4364.716,-1443.925,1.562,0.559,0.233,0.004
-4364.63,-1443.87,1.562,1.366,0.764,0.004
-4364.663,-1443.907,1.562,0.829,0.268,0.001
-4364.652,-1443.928,1.562,0.816,0.007,-0.004
-4364.683,-1443.959,1.561,0.38,-0.307,-0.011
-4364.646,-1443.837,1.561,0.707,0.992,-0.01
-4364.705,-1443.759,1.563,-0.008,1.652,0.009
-4364.695,-1443.779,1.563,0.091,1.206,0.013
-4364.761,-1443.859,1.563,-0.595,0.201,0.01
-4364.795,-1443.822,1.563,-0.861,0.553,0.006
-4364.758,-1443.853,1.563,-0.348,0.148,0.002
-4364.743,-1443.944,1.562,-0.14,-0.811,-0.003
-4364.77,-1444.033,1.563,-0.398,-1.604,0.003
-4364.833,-1444.024,1.563,-0.996,-1.274,0.003
-4364.91,-1444.104,1.562,-1.635,-1.914,0
-4365.024,-1444.005,1.562,-2.579,-0.608,0
-4364.973,-1444.059,1.563,-1.67,-1.078,0.003
-4364.936,-1444.102,1.563,-1.037,-1.362,0.004
-4365.014,-1444.043,1.563,-1.692,-0.556,0
-4364.986,-1444.078,1.563,-1.154,-0.837,0.002
-4364.98,-1444.162,1.563,-0.927,-1.575,0
-4364.945,-1444.162,1.562,-0.432,-1.341,-0.009
-4364.884,-1444.15,1.561,0.268,-1.025,-0.014
-4364.889,-1444.031,1.561,0.177,0.354,-0.01
-4364.912,-1444.025,1.561,-0.09,0.367,-0.009
-4364.872,-1444.025,1.561,0.338,0.308,-0.005
-4364.884,-1444.051,1.561,0.161,-0.003,-0.004
-4364.847,-1444.043,1.561,0.525,0.084,-0.008
-4364.87,-1443.903,1.561,0.209,1.512,-0.007
-4364.836,-1443.885,1.562,0.52,1.473,0.001
-4364.876,-1443.971,1.562,0.039,0.366,0.006
-4364.899,-1443.969,1.562,-0.206,0.331,0.004
-4364.963,-1444.049,1.562,-0.836,-0.533,0
-4364.97,-1444.024,1.562,-0.781,-0.2,-0.001
-4364.832,-1444.095,1.562,0.757,-0.9,0.006
-4364.893,-1444.282,1.563,0.019,-2.693,0.006
-4364.874,-1444.298,1.562,0.209,-2.462,0.002
-4364.732,-1444.227,1.562,1.636,-1.374,0.002
-4364.75,-1444.104,1.562,1.212,0.102,0.004
-4364.721,-1444.045,1.562,1.333,0.686,0.002
-4364.726,-1444.009,1.563,1.081,0.956,0.004
-4364.712,-1444.001,1.563,1.068,0.906,0.01
-4364.651,-1443.959,1.562,1.542,1.199,0.001
-4364.605,-1444.05,1.563,1.785,0.087,0.003
-4364.621,-1444.041,1.562,1.36,0.17,-0.001
-4364.624,-1444.089,1.563,1.128,-0.353,0.005
-4364.721,-1444.135,1.563,-0.035,-0.768,0.009
-4364.866,-1444.096,1.563,-1.524,-0.256,0.007
-4364.848,-1444.012,1.563,-1.115,0.644,0.004
-4364.814,-1443.979,1.563,-0.598,0.886,-0.002
-4364.774,-1443.886,1.562,-0.099,1.712,-0.005
-4364.805,-1443.884,1.562,-0.403,1.485,-0.01
-4364.891,-1443.802,1.561,-1.23,2.11,-0.012
-4364.929,-1443.85,1.562,-1.444,1.309,-0.006
-4364.915,-1443.828,1.561,-1.081,1.337,-0.007
-4364.839,-1443.805,1.562,-0.145,1.379,-0.002
-4364.838,-1443.868,1.562,-0.117,0.528,0.001
-4364.779,-1443.877,1.562,0.513,0.358,0.001
-4364.738,-1443.815,1.562,0.86,0.941,0.001
-4364.718,-1443.814,1.562,0.935,0.816,0.002
-4364.709,-1443.849,1.562,0.889,0.337,-0.005
-4364.749,-1443.912,1.561,0.354,-0.359,-0.008
-4364.87,-1443.921,1.562,-0.949,-0.406,-0.002
-4364.944,-1443.806,1.562,-1.57,0.838,-0.003
-4364.973,-1443.912,1.561,-1.631,-0.369,-0.004
-4365.014,-1443.99,1.562,-1.813,-1.122,0
-4365.067,-1444.075,1.562,-2.095,-1.829,0
-4364.974,-1444.147,1.562,-0.831,-2.303,0.007
-4365.061,-1444.122,1.562,-1.602,-1.705,0.006
-4365.057,-1444.176,1.563,-1.328,-2.009,0.008
-4365.059,-1444.19,1.563,-1.15,-1.857,0.007
-4365.005,-1444.125,1.563,-0.43,-0.917,0.005
-4364.905,-1444.096,1.563,0.659,-0.491,0.002
-4364.932,-1444.031,1.562,0.291,0.257,-0.001
-4364.854,-1444.047,1.562,1.044,0.054,-0.002
-4364.817,-1444.024,1.562,1.274,0.283,0.002
-4364.715,-1444.07,1.562,2.135,-0.232,0.001
-4364.827,-1444.09,1.563,0.67,-0.408,0.007
-4364.794,-1444.185,1.563,0.91,-1.321,0.003
-4364.736,-1444.081,1.563,1.374,-0.055,0.009
-4364.749,-1444.011,1.564,1.041,0.668,0.012
-4364.73,-1443.987,1.563,1.085,0.823,0.006
-4364.757,-1443.956,1.562,0.649,1.017,-0.009
-4364.812,-1443.979,1.563,-0.023,0.634,0.002
-4364.782,-1444.036,1.563,0.295,-0.05,-0.001
-4364.875,-1444.03,1.562,-0.707,0.024,-0.01
-4364.88,-1444.06,1.561,-0.653,-0.295,-0.013
-4364.943,-1444.048,1.561,-1.204,-0.128,-0.015
-4364.854,-1444.023,1.561,-0.109,0.147,-0.011
-4364.83,-1443.878,1.561,0.153,1.619,-0.009
-4364.841,-1443.956,1.561,0.013,0.584,-0.012
-4364.857,-1443.935,1.56,-0.153,0.714,-0.011
-4364.879,-1444.028,1.561,-0.357,-0.351,-0.008
-4364.908,-1444.051,1.56,-0.596,-0.535,-0.009
-4364.841,-1444.103,1.56,0.177,-0.993,-0.009
-4364.825,-1444.157,1.56,0.312,-1.401,-0.008
-4364.868,-1444.132,1.56,-0.174,-0.938,-0.008
-4364.835,-1443.757,1.558,0.194,3.053,-0.027
-4364.674,-1443.029,1.556,1.817,10.107,-0.043
-4364.543,-1441.625,1.552,2.9,23.072,-0.069
-4364.369,-1439.751,1.549,4.268,38.971,-0.093
-4363.941,-1437.257,1.546,8.043,58.909,-0.107
-4363.334,-1434.294,1.543,13.112,80.75,-0.115
-4362.861,-1431.118,1.541,16.055,101.577,-0.117
-4362.267,-1427.88,1.542,19.807,119.967,-0.096
-4361.694,-1424.647,1.543,22.788,135.61,-0.073
-4361.258,-1421.442,1.543,23.928,148.66,-0.057
-4360.805,-1418.172,1.545,25.08,160.457,-0.032
-4360.353,-1415.119,1.547,26.042,168.292,-0.009
-4359.908,-1412.216,1.548,26.786,173.428,0.006
-4359.476,-1409.399,1.55,27.296,176.921,0.016
-4359.067,-1406.527,1.55,27.49,180.472,0.021
-4358.721,-1403.652,1.552,27.015,183.518,0.03
-4358.286,-1400.832,1.552,27.523,185.564,0.026
-4357.882,-1398.049,1.552,27.632,186.927,0.026
-4357.671,-1395.31,1.552,25.741,187.634,0.021
-4357.4,-1392.61,1.552,24.739,187.836,0.021
-4357.128,-1390.061,1.553,23.898,186.45,0.023
-4356.91,-1387.53,1.552,22.636,185.085,0.012
-4356.575,-1385.019,1.552,22.752,183.711,0.013
-4356.307,-1382.645,1.552,22.17,181.139,0.006
-4356.205,-1380.043,1.552,19.961,181.281,0.012
-4355.926,-1377.462,1.553,19.895,181.195,0.011
-4355.719,-1374.931,1.551,19.098,180.602,-0.001
-4355.317,-1372.434,1.551,20.428,179.741,-0.003
-4354.875,-1369.912,1.552,21.98,179.279,0.004
-4354.265,-1367.444,1.552,25.024,178.311,0.004
-4353.707,-1364.954,1.552,27.084,177.723,0.001
-4353.153,-1362.496,1.552,28.804,176.893,0.002
-4352.773,-1360.015,1.551,28.48,176.422,-0.008
-4352.407,-1357.564,1.551,28.061,175.709,-0.005
-4352.151,-1355.049,1.552,26.57,175.757,0.004
-4351.761,-1352.592,1.553,26.672,175.198,0.018
-4351.405,-1350.087,1.553,26.421,175.228,0.015
-4351.154,-1347.671,1.554,25.111,174.326,0.018
-4350.827,-1345.161,1.555,24.792,174.528,0.024
-4350.479,-1342.528,1.556,24.728,175.967,0.028
-4349.92,-1340.045,1.556,26.842,175.649,0.026
-4349.407,-1337.692,1.556,28.176,174.045,0.025
-4348.967,-1335.159,1.557,28.563,174.517,0.032
-4348.696,-1332.724,1.558,27.155,173.927,0.032
-4348.397,-1330.164,1.558,26.237,174.701,0.026
-4348.121,-1327.701,1.557,25.221,174.365,0.021
-4347.832,-1325.189,1.557,24.491,174.582,0.011
-4347.563,-1322.704,1.556,23.652,174.487,0
-4347.366,-1320.133,1.556,22.202,175.289,0
