Index,Time,debug_X,debug_Y,((robot).imu)->data[10]
75007,75.007328,185.300003,-2226.3999,11.0797119
75008,75.008327,185.300003,-2226.3999,11.0797119
75009,75.009322,185.300003,-2226.3999,11.0797119
75010,75.010414,185.300003,-2226.3999,11.0797119
75011,75.011325,185.300003,-2226.3999,11.0797119
75012,75.012328,185.300003,-2226.3999,11.0797119
75013,75.013327,185.300003,-2226.3999,11.0797119
75014,75.014322,185.300003,-2226.3999,11.0797119
75015,75.015328,185.300003,-2226.3999,11.0797119
75016,75.016323,185.300003,-2226.3999,11.0797119
75017,75.017325,185.300003,-2226.3999,11.0797119
75018,75.018328,185.300003,-2226.3999,11.0797119
75019,75.019327,185.300003,-2226.3999,11.0797119
75020,75.020322,185.300003,-2226.3999,11.0797119
75021,75.021406,185.300003,-2226.3999,11.0797119
75022,75.022325,185.300003,-2226.3999,11.0797119
75023,75.023328,185.300003,-2226.3999,11.0797119
75024,75.024327,185.300003,-2226.3999,11.0797119
75025,75.025322,185.300003,-2226.3999,11.0797119
75026,75.026329,185.300003,-2226.3999,11.0797119
75027,75.027328,185.300003,-2226.3999,11.0797119
75028,75.028327,185.300003,-2226.3999,11.0797119
75029,75.029323,185.300003,-2226.3999,11.0797119
75030,75.030322,185.300003,-2226.3999,11.0797119
75031,75.031326,185.300003,-2226.3999,11.0797119
75032,75.032337,185.300003,-2226.3999,11.0797119
75033,75.033325,185.300003,-2226.3999,11.0797119
75034,75.034324,185.300003,-2226.3999,11.0797119
75035,75.035328,185.300003,-2226.3999,11.0797119
75036,75.036328,185.300003,-2226.3999,11.0797119
75037,75.037326,185.300003,-2226.3999,11.0797119
75038,75.038325,185.300003,-2226.3999,11.0797119
75039,75.039329,185.300003,-2226.3999,11.0797119
75040,75.040328,185.300003,-2226.3999,11.0797119
75041,75.041324,185.300003,-2226.3999,11.0797119
75042,75.042384,185.300003,-2226.3999,11.0797119
75043,75.043325,185.300003,-2226.3999,11.0797119
75044,75.044329,185.300003,-2226.3999,11.0797119
75045,75.045328,185.300003,-2226.3999,11.0797119
75046,75.046324,185.300003,-2226.3999,11.0797119
75047,75.047327,185.300003,-2226.3999,11.0797119
75048,75.048322,185.300003,-2226.3999,11.0797119
75049,75.049329,185.300003,-2226.3999,11.0797119
75050,75.050325,185.300003,-2226.3999,11.0797119
75051,75.051324,185.300003,-2226.3999,11.0797119
75052,75.052328,185.300003,-2226.3999,11.0797119
75053,75.053327,185.300003,-2226.3999,11.0797119
75054,75.054364,185.300003,-2226.3999,11.0797119
75055,75.055325,185.300003,-2226.3999,11.0797119
75056,75.056327,185.300003,-2226.3999,11.0797119
75057,75.057328,185.300003,-2226.3999,11.0797119
75058,75.058323,185.300003,-2226.3999,11.0797119
75059,75.059322,185.300003,-2226.3999,11.0797119
