Index,Time,((robot).imu)->data[10],debug_Y,debug_X
4208,21.043321,-34.8925781,-21.527132,15.881752
4209,21.048303,-34.6783447,-21.4864902,16.1459122
4210,21.053319,-34.5410156,-21.4255276,16.5421524
4211,21.058308,-34.3432617,-21.389967,16.8063126
4212,21.063316,-34.2059326,-21.3442459,17.2228737
4213,21.068306,-34.0081787,-21.303606,17.512434
4214,21.073320,-33.8708496,-21.2629642,17.9645519
4215,21.078316,-33.6730957,-21.2274036,18.2591915
4216,21.083318,-33.5357666,-21.1766014,18.6960716
4217,21.088303,-33.3325195,-21.1410408,18.9856319
4218,21.093322,-33.1951904,-21.08008,19.4225121
4219,21.098304,-32.9754639,-21.0445194,19.7171516
4220,21.103318,-32.8326416,-20.9937172,20.1692715
4221,21.108303,-32.6184082,-20.9632359,20.4791508
4222,21.113320,-32.4700928,-20.9327564,20.9312687
4223,21.118305,-32.3217773,-20.902277,21.2360668
4224,21.123320,-32.1020508,-20.8514767,21.6881847
4225,21.128303,-31.9537354,-20.8311577,21.9879036
4226,21.133316,-31.7340088,-20.815918,22.1453838
4227,21.138319,-31.5856934,-20.815918,22.1453838
4228,21.143317,-31.3604736,-20.815918,22.2723827
4229,21.148308,-31.2176514,-20.8108387,22.4705029
4230,21.153302,-30.9924316,-20.7651196,22.8311825
4231,21.158319,-30.8441162,-20.7346401,23.0902634
4232,21.163308,-30.6134033,-20.7194004,23.5017433
4233,21.168322,-30.4650879,-20.7194004,23.8014622
4234,21.173302,-30.2398682,-20.7346382,24.2485008
4235,21.178323,-30.0860596,-20.7346382,24.3297806
4236,21.183307,-29.8608398,-20.7346382,24.3297806
4237,21.188321,-29.7125244,-20.7346382,24.3856602
4238,21.193307,-29.4927979,-20.7092381,24.6549015
4239,21.198316,-29.3499756,-20.6787586,24.8784199
4240,21.203306,-29.1357422,-20.6279583,25.2441807
4241,21.208319,-28.9929199,-20.5923977,25.4931011
4242,21.213305,-28.7731934,-20.5212765,25.9147415
4243,21.218304,-28.6248779,-20.4704762,26.2144604
4244,21.223321,-28.3996582,-20.4349155,26.4379807
4245,21.228307,-28.2458496,-20.4145966,26.6665802
4246,21.233318,-28.1744385,-20.3739567,27.0882206
4247,21.238303,-27.8942871,-20.3434772,27.3777809
4248,21.243315,-27.756958,-20.3028374,27.8248196
4249,21.248301,-27.5537109,-20.2621975,28.1194592
4250,21.253323,-27.421875,-20.2367973,28.5614185
4251,21.258322,-27.2131348,-20.185997,29.1202183
4252,21.263317,-27.0758057,-20.1656761,29.3640575
4253,21.268304,-26.8670654,-20.1504364,29.6231384
4254,21.273321,-26.7297363,-20.1148758,30.0396976
4255,21.278307,-26.5155029,-20.0742359,30.4918175
4256,21.283318,-26.3726807,-20.0488358,30.8016968
4257,21.288302,-26.1529541,-20.0081959,31.258894
4258,21.293319,-26.0101318,-19.987875,31.5535336
4259,21.298304,-25.7904053,-19.9624748,31.9650135
4260,21.303316,-25.647583,-19.9472351,32.2698135
4261,21.308306,-25.4278564,-19.9370766,32.7066917
4262,21.313319,-25.279541,-19.9319973,33.0064125
4263,21.318321,-25.0708008,-19.9167576,33.4737701
4264,21.323319,-24.9279785,-19.9015179,33.8090515
4265,21.328301,-24.7192383,-19.8811989,34.3170547
4266,21.333321,-24.7192383,-19.8710403,34.6523361
4267,21.338304,-24.4995117,-19.8608818,35.1298523
4268,21.343301,-24.3457031,-19.8608818,35.4397316
4269,21.348322,-24.0380859,-19.8405628,35.8867683
4270,21.353301,-24.0380859,-19.8253231,36.1966476
4271,21.358321,-23.6645508,-19.8253231,36.1966476
4272,21.363306,-23.3734131,-19.8151627,36.2880898
4273,21.368324,-23.302002,-19.7796021,36.5878105
4274,21.373305,-23.0053711,-19.7491226,36.8164101
4275,21.378321,-22.9284668,-19.6983223,37.1770935
4276,21.383306,-22.6208496,-19.6678429,37.4361725
4277,21.388323,-22.5439453,-19.6068802,37.883213
4278,21.393305,-22.2363281,-19.5560799,38.2134132
4279,21.398318,-22.1594238,-19.5256004,38.4420128
4280,21.403303,-21.8463135,-19.5002003,38.72649
4281,21.408319,-21.7694092,-19.4646397,39.2141685
4282,21.413304,-21.461792,-19.4341583,39.5545273
4283,21.418322,-21.3848877,-19.403677,40.0574455
4284,21.423317,-21.09375,-19.3884373,40.3978081
4285,21.428321,-21.0223389,-19.3579578,40.8702469
4286,21.433301,-20.725708,-19.3376389,41.1699677
4287,21.438318,-20.6488037,-19.3173199,41.611927
4288,21.443303,-20.3466797,-19.3020802,41.8913269
4289,21.448320,-20.2697754,-19.2766819,42.3332863
4290,21.453302,-19.9786377,-19.256361,42.633007
4291,21.458315,-19.8413086,-19.2309608,43.1003647
4292,21.463305,-19.6325684,-19.21064,43.4254837
4293,21.468318,-19.5007324,-19.1852398,43.9080811
4294,21.473323,-19.286499,-19.1700001,44.2128792
4295,21.478323,-19.1326904,-19.1598396,44.6802368
4296,21.483306,-18.9074707,-19.1598396,44.6802368
4297,21.488319,-18.7536621,-19.1598396,44.6802368
4298,21.493304,-18.5339355,-19.1598396,44.6802368
4299,21.498316,-18.3911133,-19.1598396,44.6802368
4300,21.503305,-18.182373,-19.1598396,44.6802368
4301,21.508321,-18.0450439,-19.1598396,44.6802368
4302,21.513302,-17.8308105,-19.1598396,44.6802368
4303,21.518321,-17.6824951,-19.1598396,44.6802368
4304,21.523307,-17.4572754,-19.1547604,44.7310371
4305,21.528319,-17.30896,-19.1242809,44.944397
4306,21.533320,-17.0947266,-19.10396,45.1171188
4307,21.538307,-16.9628906,-19.0683994,45.3914337
4308,21.543316,-16.7651367,-19.0429993,45.5844727
4309,21.548301,-16.6333008,-19.0074387,45.9299126
4310,21.553323,-16.4355469,-18.9718781,46.2042313
4311,21.558301,-16.2982178,-18.9413986,46.4328308
4312,21.563322,-16.1663818,-18.905838,46.7173119
4313,21.568308,-15.9631348,-18.8499565,47.1897507
4314,21.573323,-15.8312988,-18.8093147,47.4742279
4315,21.578305,-15.6005859,-18.748354,47.8450699
4316,21.583315,-15.4522705,-18.6975536,48.0685883
4317,21.588323,-15.2215576,-18.6315117,48.4241905
4318,21.593317,-15.0732422,-18.5857906,48.673111
4319,21.598308,-14.8919678,-18.5197487,49.1150703
4320,21.603318,-14.7766113,-18.4689484,49.4401894
4321,21.608308,-14.5953369,-18.4689484,49.4503479
4322,21.613319,-14.4799805,-18.4283085,49.6281471
4323,21.618305,-14.2437744,-18.372427,49.9329491
4324,21.623318,-14.0844727,-18.3317852,50.1412315
4325,21.628301,-13.8482666,-18.2301846,50.8067131
4326,21.633321,-13.6889648,-18.2098637,51.0099106
4327,21.638303,-13.4637451,-18.1743031,51.3604317
4328,21.643316,-13.3154297,-18.1489029,51.6093521
4329,21.648319,-13.09021,-18.1133423,52.0005112
4330,21.653325,-12.9418945,-18.0879421,52.2900696
4331,21.658318,-12.7331543,-18.0523815,52.732029
4332,21.663308,-12.5958252,-18.0269814,53.0165062
4333,21.668321,-12.387085,-17.9965019,53.4178276
4334,21.673303,-12.2497559,-17.9711018,53.6870689
4335,21.678319,-12.1838379,-17.9457016,54.0985489
4336,21.683307,-11.9146729,-17.9253807,54.3881073
4337,21.688317,-11.7828369,-17.9253807,54.3881073
4338,21.693302,-11.7828369,-17.9253807,54.3881073
4339,21.698319,-11.4367676,-17.9253807,54.3881073
4340,21.703307,-11.1456299,-17.9253807,54.3881073
4341,21.708320,-11.0742188,-17.9253807,54.3881073
4342,21.713308,-10.7830811,-17.910141,54.4846268
4343,21.718317,-10.7061768,-17.8695011,54.7386246
4344,21.723307,-10.4095459,-17.844101,54.9367447
4345,21.728316,-10.3381348,-17.7831383,55.2669487
4346,21.733306,-10.0415039,-17.7374172,55.5057106
4347,21.738322,-9.97009277,-17.666296,55.9222679
4348,21.743307,-9.68994141,-17.6256542,56.2219887
4349,21.748322,-9.61853027,-17.5951748,56.4099503
4350,21.753316,-9.33288574,-17.5443745,56.8214302
4351,21.758318,-9.26147461,-17.5088139,57.1059074
4352,21.763307,-8.97033691,-17.4630947,57.5275459
4353,21.768318,-8.89892578,-17.4275341,57.8171043
4354,21.773304,-8.68469238,-17.3665714,58.2692261
4355,21.778323,-8.54187012,-17.336092,58.5791054
4356,21.783304,-8.33862305,-17.2903728,59.0413857
4357,21.788316,-8.20129395,-17.2751331,59.351265
4358,21.793306,-7.99255371,-17.2446518,59.7932243
4359,21.798350,-7.84973145,-17.2243309,60.0675468
4360,21.803304,-7.63549805,-17.1938496,60.4891853
4361,21.808318,-7.42675781,-17.1786098,60.7736626
4362,21.813320,-7.28393555,-17.1532097,61.2207031
4363,21.818305,-7.06970215,-17.13797,61.540741
4364,21.823319,-6.93237305,-17.1125698,62.124939
4365,21.828304,-6.72363281,-17.0973301,62.6227798
4366,21.833320,-6.58630371,-17.0820923,62.9783821
4367,21.838302,-6.35559082,-17.077013,63.2425423
4368,21.843320,-6.20178223,-17.0668545,63.6387825
4369,21.848307,-5.97106934,-17.0516148,63.8877029
4370,21.853322,-5.81726074,-17.036375,64.2890244
4371,21.858301,-5.60852051,-17.0312958,64.568428
4372,21.863317,-5.47119141,-17.0211372,64.984993
4373,21.868304,-5.26794434,-17.0058975,65.2593155
4374,21.873319,-5.13061523,-16.9754181,65.8130417
4375,21.878303,-4.921875,-16.9652576,66.0213242
4376,21.883317,-4.7845459,-16.929697,66.5140762
4377,21.888303,-4.58129883,-16.9093761,66.7782364
4378,21.893323,-4.44396973,-16.8788948,67.1897202
4379,21.898308,-4.22973633,-16.8585739,67.4792862
4380,21.903320,-4.0814209,-16.8077736,67.9314041
4381,21.908307,-3.8671875,-16.772213,68.2463608
4382,21.913317,-3.71887207,-16.7163315,68.7340393
4383,21.918304,-3.49914551,-16.6807709,69.0642395
4384,21.923319,-3.49914551,-16.6299706,69.551918
4385,21.928306,-3.12561035,-16.5994911,69.877037
4386,21.933456,-2.97729492,-16.5588512,70.3647156
4387,21.938302,-2.7520752,-16.5334511,70.6745911
4388,21.943301,-2.5982666,-16.4877319,71.1216354
4389,21.948319,-2.36755371,-16.4877319,71.1216354
4390,21.953304,-2.21923828,-16.4877319,71.1216354
4391,21.958321,-1.98852539,-16.4877319,71.1216354
4392,21.963302,-1.8347168,-16.4877319,71.1216354
4393,21.968319,-1.60400391,-16.4877319,71.1216354
4394,21.973305,-1.52709961,-16.4877319,71.1216354
4395,21.978316,-1.37329102,-16.4877319,71.1216354
4396,21.983318,-1.15356445,-16.4877319,71.1216354
4397,21.988319,-1.00524902,-16.4724922,71.2232361
4398,21.993302,-0.780029297,-16.4369316,71.4873962
4399,21.998316,-0.637207031,-16.4216919,71.6905975
4400,22.003306,-0.428466797,-16.4013729,72.0157242
4401,22.008335,-0.291137695,-16.3861332,72.2595596
4402,22.013307,-0.153808594,-16.3556519,72.6862793
4403,22.018323,0.131835938,-16.3454914,73.0113983
4404,22.023304,0.131835938,-16.3251724,73.2196808
4405,22.028302,0.521850586,-16.3099327,73.5346375
4406,22.033318,0.752563477,-16.315012,74.0324783
4407,22.038437,0.90637207,-16.3251705,74.3677597
