Index,Time,X,Y
5123,100.132000,34.0882683,-368.215576
5124,100.149000,34.0816612,-369.358551
5125,100.167000,34.1233177,-370.480255
5126,100.186000,34.1527824,-371.769104
5127,100.201000,34.1847878,-372.936493
5128,100.219000,34.2686081,-374.206512
5129,100.237000,34.3128014,-375.584686
5130,100.255000,34.3818893,-376.907593
5131,100.274000,34.4895859,-378.601227
5132,100.295000,34.5414047,-380.022583
5133,100.314000,34.6242065,-381.352051
5134,100.335000,34.6983719,-382.917206
5135,100.359000,34.7410545,-384.63681
5136,100.375000,34.8030357,-386.25943
5137,100.395000,34.8203049,-387.67215
5138,100.413000,34.8594246,-389.08136
5139,100.432000,34.8772049,-390.528656
5140,100.451000,34.9173393,-392.059753
5141,100.470000,34.9468079,-393.434387
5142,100.489000,34.9650993,-394.612457
5143,100.507000,35.0514641,-395.988647
5144,100.534000,35.1119194,-396.690247
5145,100.553000,35.1855812,-397.685944
5146,100.574000,35.1926994,-398.146179
5147,100.595000,35.2892189,-399.610748
5148,100.613000,35.3415413,-400.616638
5149,100.631000,35.3654175,-401.808929
5150,100.647000,35.4416199,-403.267914
5151,100.665000,35.5071564,-404.824432
5152,100.685000,35.5797997,-406.673553
5153,100.704000,35.6219673,-408.442413
5154,100.723000,35.708828,-410.290985
5155,100.742000,35.7271194,-411.744385
5156,100.759000,35.7601395,-412.522156
5157,100.776000,35.7890968,-413.50412
5158,100.794000,35.8241501,-415.170868
5159,100.813000,35.8744469,-416.768494
5160,100.831000,35.8937492,-417.9039
5161,100.853000,35.9354095,-419.556427
5162,100.874000,35.9745255,-420.371246
5163,100.894000,35.9989128,-421.088013
5164,100.912000,36.0019608,-421.234314
5165,100.930000,36.0852737,-422.979797
5166,100.949000,36.1096611,-424.566803
5167,100.966000,36.1325188,-426.542938
5168,100.985000,36.1990623,-427.513245
5169,101.003000,36.2925339,-429.047394
5170,101.021000,36.3113327,-429.56604
5171,101.039000,36.3763542,-431.63974
5172,101.060000,36.4759216,-433.421295
5173,101.076000,36.5307846,-434.709076
5174,101.100000,36.6196823,-435.766205
5175,101.118000,36.6720085,-438.027313
5176,101.138000,36.6989365,-438.950897
5177,101.158000,36.7451706,-441.349182
5178,101.175000,36.7405968,-443.307526
5179,101.193000,36.8198433,-445.216064
5180,101.213000,36.863533,-447.219604
5181,101.231000,36.8701363,-448.15686
5182,101.251000,36.8701363,-448.15686
5183,101.269000,36.8701363,-448.15686
5184,101.289000,36.8701363,-448.15686
5185,101.308000,36.8701363,-448.15686
5186,101.326000,36.8701363,-448.15686
5187,101.348000,36.8701363,-448.15686
5188,101.369000,36.8701363,-448.15686
5189,101.392000,36.8701363,-448.15686
5190,101.410000,36.8701363,-448.15686
5191,101.427000,36.8701363,-448.15686
5192,101.444000,36.8701363,-448.15686
5193,101.463000,36.8701363,-448.15686
5194,101.482000,36.8686104,-448.141113
5195,101.500000,36.8792801,-447.945007
5196,101.521000,36.8792801,-447.945007
5197,101.539000,36.8792801,-447.945007
5198,101.558000,36.8792801,-447.945007
5199,101.576000,36.8792801,-447.945007
5200,101.598000,36.8655624,-447.965332
5201,101.625000,36.8655624,-447.965332
5202,101.641000,36.8655624,-447.965332
5203,101.658000,36.8655624,-447.965332
5204,101.680000,36.8655624,-447.965332
5205,101.698000,36.8655624,-447.965332
5206,101.717000,36.8655624,-447.965332
5207,101.734000,36.8655624,-447.965332
5208,101.751000,36.8655624,-447.965332
5209,101.769000,36.8655624,-447.965332
5210,101.788000,36.8655624,-447.965332
5211,101.804000,36.8655624,-447.965332
5212,101.823000,36.8650551,-447.965332
5213,101.867000,36.8650551,-447.965332
5214,101.886000,36.8650551,-447.965332
5215,101.907000,36.8650551,-447.965332
5216,101.924000,36.8650551,-447.965332
5217,101.940000,36.8650551,-447.965332
5218,101.959000,36.8650551,-447.965332
5219,101.976000,36.8650551,-447.965332
5220,101.993000,36.8650551,-447.965332
5221,102.010000,36.8650551,-447.965332
5222,102.027000,36.8650551,-447.965332
5223,102.043000,36.8650551,-447.965332
5224,102.060000,36.8650551,-447.965332
5225,102.077000,36.8650551,-447.965332
5226,102.099000,36.8650551,-447.965332
5227,102.124000,36.8650551,-447.965332
5228,102.142000,36.8650551,-447.965332
5229,102.159000,36.8650551,-447.965332
5230,102.175000,36.8650551,-447.965332
5231,102.192000,36.8650551,-447.965332
5232,102.215000,36.8650551,-447.965332
5233,102.235000,36.8650551,-447.965332
5234,102.253000,36.8650551,-447.965332
5235,102.271000,36.8650551,-447.965332
5236,102.291000,36.8650551,-447.965332
5237,102.310000,36.8650551,-447.965332
5238,102.326000,36.8650551,-447.965332
5239,102.344000,36.8650551,-447.965332
5240,102.363000,36.8650551,-447.965332
5241,102.380000,36.8650551,-447.965332
5242,102.398000,36.8650551,-447.965332
5243,102.418000,36.8650551,-447.965332
5244,102.438000,36.8650551,-447.965332
5245,102.456000,36.8650551,-447.965332
5246,102.484000,36.8650551,-447.965332
5247,102.503000,36.8650551,-447.965332
5248,102.523000,36.8650551,-447.965332
5249,102.556000,36.8650551,-447.965332
5250,102.572000,36.8650551,-447.965332
5251,102.602000,36.8721695,-447.953644
5252,102.625000,36.8757248,-447.97345
5253,102.656000,36.8167915,-447.954132
5254,102.675000,36.7548103,-447.970917
5255,102.692000,36.7156906,-447.980621
5256,102.715000,36.6298332,-447.986816
5257,102.733000,36.5668449,-447.991943
5258,102.753000,36.5668449,-447.991943
5259,102.772000,36.5673523,-447.992462
5260,102.792000,36.5673523,-447.992462
5261,102.810000,36.5673523,-447.992462
5262,102.829000,36.5673523,-447.992462
5263,102.852000,36.5673523,-447.992462
5264,102.879000,36.5673523,-447.992462
