x,y,1.444,-0.084,-1.489,0
-4671.303,-1490.118,1.444,-0.684,-0.346,0.014
-4671.286,-1490.116,1.445,-0.407,-0.268,0.016
-4671.271,-1490.115,1.444,-0.185,-0.221,0.006
-4671.253,-1490.158,1.444,0.015,-0.634,0.001
-4671.255,-1490.209,1.444,-0.007,-1.063,0.008
-4671.177,-1490.13,1.444,0.799,-0.092,0.008
-4671.189,-1490.168,1.444,0.563,-0.469,0.007
-4671.165,-1490.16,1.445,0.729,-0.324,0.01
-4671.173,-1490.151,1.444,0.532,-0.176,0
-4671.218,-1490.251,1.443,-0.003,-1.188,-0.007
-4671.256,-1490.28,1.444,-0.395,-1.304,0
-4671.238,-1490.328,1.444,-0.156,-1.608,0.005
-4671.255,-1490.409,1.445,-0.309,-2.205,0.006
-4671.237,-1490.413,1.445,-0.079,-1.923,0.007
-4671.256,-1490.457,1.445,-0.262,-2.094,0.007
-4671.209,-1490.381,1.444,0.261,-1.003,-0.004
-4671.193,-1490.404,1.444,0.392,-1.095,-0.003
-4671.185,-1490.321,1.444,0.42,-0.077,-0.003
-4671.19,-1490.291,1.444,0.302,0.241,-0.003
-4671.227,-1490.137,1.444,-0.122,1.794,-0.003
-4671.161,-1490.071,1.443,0.571,2.208,-0.006
-4671.094,-1490.127,1.442,1.181,1.307,-0.015
-4671.067,-1490.129,1.442,1.285,1.091,-0.012
-4671.207,-1490.142,1.442,-0.346,0.798,-0.015
-4671.249,-1490.161,1.443,-0.723,0.489,-0.006
-4671.325,-1490.12,1.443,-1.402,0.833,-0.002
-4671.307,-1490.079,1.443,-1.013,1.132,0
-4671.344,-1490.117,1.442,-1.243,0.577,-0.009
-4671.346,-1490.152,1.442,-1.083,0.133,-0.011
-4671.395,-1490.132,1.442,-1.429,0.322,-0.005
-4671.347,-1490.114,1.443,-0.722,0.457,0.006
-4671.297,-1490.134,1.444,-0.101,0.186,0.008
-4671.274,-1490.036,1.444,0.153,1.171,0.008
-4671.194,-1490.089,1.445,0.953,0.448,0.015
-4671.268,-1490.032,1.444,0.055,0.973,0.011
-4671.254,-1490.149,1.444,0.182,-0.382,0.004
-4671.267,-1490.219,1.443,0.031,-1.041,-0.002
-4671.215,-1490.18,1.444,0.556,-0.491,0.001
-4671.243,-1490.1,1.444,0.191,0.41,0.006
-4671.259,-1490.079,1.445,-0.009,0.562,0.013
-4671.168,-1490.125,1.445,0.927,0.009,0.016
-4671.166,-1490.01,1.445,0.821,1.191,0.01
-4671.122,-1490.051,1.445,1.149,0.593,0.012
-4671.156,-1490.057,1.446,0.629,0.443,0.013
-4671.196,-1490.124,1.445,0.119,-0.305,0.002
-4671.194,-1490.147,1.445,0.126,-0.502,0.001
-4671.203,-1490.165,1.444,0.015,-0.618,-0.001
-4671.265,-1489.976,1.444,-0.624,1.422,-0.006
-4671.224,-1489.975,1.443,-0.109,1.22,-0.012
-4671.212,-1489.953,1.444,0.031,1.271,-0.006
-4671.289,-1489.913,1.443,-0.765,1.492,-0.014
-4671.194,-1490.029,1.442,0.326,0.08,-0.016
-4671.217,-1489.951,1.442,0.033,0.869,-0.015
-4671.174,-1490.041,1.442,0.471,-0.183,-0.013
-4671.151,-1490.142,1.442,0.641,-1.19,-0.01
-4671.177,-1490.178,1.442,0.282,-1.394,-0.013
-4671.232,-1490.27,1.442,-0.329,-2.128,-0.011
-4671.223,-1490.196,1.441,-0.187,-1.061,-0.014
-4671.236,-1490.26,1.441,-0.294,-1.555,-0.016
-4671.175,-1490.242,1.441,0.379,-1.143,-0.013
-4671.121,-1490.281,1.442,0.876,-1.384,-0.005
-4671.094,-1490.269,1.442,1.024,-1.047,-0.004
-4671.099,-1490.257,1.441,0.826,-0.775,-0.007
-4671.069,-1490.186,1.442,1.018,0.066,0
-4671.146,-1490.161,1.442,0.065,0.32,0.001
-4671.169,-1490.103,1.443,-0.182,0.865,0.006
-4671.194,-1490.128,1.442,-0.403,0.486,0.002
-4671.179,-1490.089,1.443,-0.187,0.81,0.006
-4671.213,-1490.091,1.442,-0.518,0.67,-0.004
-4671.218,-1490.109,1.442,-0.493,0.39,0
-4671.167,-1490.136,1.443,0.1,0.05,0.008
-4671.14,-1490.065,1.443,0.377,0.775,0.012
-4671.201,-1490.035,1.443,-0.315,0.977,0.01
-4671.172,-1489.983,1.444,0.032,1.369,0.016
-4671.26,-1489.927,1.445,-0.879,1.735,0.017
-4671.301,-1489.976,1.444,-1.168,0.982,0.011
-4671.211,-1490.001,1.445,-0.073,0.583,0.014
-4671.21,-1490.044,1.444,-0.057,0.053,0.009
-4671.253,-1490.07,1.445,-0.491,-0.227,0.01
-4671.201,-1490.094,1.445,0.118,-0.433,0.011
-4671.18,-1490.169,1.444,0.324,-1.143,0.005
-4671.164,-1490.06,1.445,0.437,0.144,0.007
-4671.234,-1490.041,1.445,-0.348,0.314,0.007
-4671.243,-1490.044,1.444,-0.388,0.245,0.001
-4671.331,-1490.004,1.444,-1.236,0.615,-0.004
-4671.298,-1489.981,1.444,-0.715,0.765,-0.001
-4671.317,-1489.986,1.444,-0.806,0.601,0.001
-4671.214,-1489.968,1.444,0.37,0.691,0.001
-4671.107,-1489.912,1.445,1.416,1.165,0.004
-4671.093,-1490.022,1.444,1.356,-0.134,-0.002
-4671.12,-1490.13,1.444,0.877,-1.231,-0.001
