-5397.029,-789.399,-1.486,51.366,-720.660,0.004
-5396.233,-799.775,-1.485,52.005,-721.501,0.009
-5395.628,-809.872,-1.485,50.583,-719.329,0.009
-5395.046,-820.052,-1.487,49.133,-718.342,-0.005
-5394.226,-830.519,-1.487,50.358,-720.450,-0.010
-5393.685,-840.889,-1.489,48.514,-721.255,-0.022
-5392.963,-851.161,-1.489,48.812,-720.929,-0.023
-5392.403,-861.604,-1.490,47.395,-722.416,-0.023
-5392.134,-871.759,-1.491,43.199,-720.708,-0.030
-5391.911,-882.158,-1.491,39.147,-721.770,-0.030
-5391.152,-892.482,-1.492,41.199,-721.907,-0.030
-5390.458,-902.763,-1.493,42.279,-721.582,-0.036
-5389.987,-913.099,-1.493,40.917,-721.861,-0.032
-5389.690,-923.476,-1.493,37.955,-722.530,-0.025
-5389.550,-934.183,-1.492,33.811,-726.495,-0.020
-5389.383,-945.055,-1.493,30.563,-731.572,-0.027
-5388.902,-962.777,-1.495,31.012,-806.424,-0.038
-5388.887,-980.084,-1.497,26.614,-865.998,-0.052
-5388.888,-996.507,-1.498,22.688,-907.705,-0.052
-5389.137,-1012.618,-1.499,16.789,-940.070,-0.055
-5389.339,-1028.061,-1.500,12.242,-960.797,-0.054
-5389.380,-1043.139,-1.500,10.018,-974.725,-0.046
-5389.384,-1057.756,-1.501,8.503,-981.851,-0.046
-5389.393,-1072.027,-1.500,7.165,-984.362,-0.035
-5389.557,-1085.985,-1.500,4.414,-983.292,-0.027
-5389.595,-1099.454,-1.500,3.380,-977.342,-0.028
-5389.605,-1112.936,-1.499,2.770,-972.396,-0.016
-5389.620,-1126.309,-1.499,2.213,-967.062,-0.008
-5389.435,-1139.363,-1.498,3.793,-959.224,0.005
-5389.265,-1152.338,-1.496,4.982,-951.728,0.017
-5389.016,-1165.347,-1.495,6.812,-945.690,0.026
-5388.864,-1178.274,-1.493,7.382,-939.691,0.039
-5388.776,-1191.009,-1.492,7.203,-932.587,0.046
-5388.295,-1203.873,-1.491,11.087,-927.869,0.049
-5387.933,-1216.983,-1.490,13.191,-926.373,0.051
-5387.586,-1229.898,-1.488,14.815,-923.094,0.060
-5387.399,-1242.926,-1.487,14.564,-921.450,0.060
-5386.851,-1255.791,-1.488,18.068,-918.380,0.045
-5386.293,-1268.656,-1.488,21.155,-915.760,0.038
-5385.811,-1281.636,-1.488,23.008,-914.707,0.032
-5385.394,-1294.369,-1.489,23.913,-911.264,0.022
-5384.948,-1307.376,-1.490,24.984,-911.150,0.008
-5384.178,-1320.622,-1.489,29.245,-913.511,0.018
-5383.430,-1334.253,-1.488,32.637,-919.491,0.020
-5382.838,-1348.043,-1.487,33.935,-926.232,0.030
-5382.094,-1362.024,-1.486,36.605,-933.939,0.031
-5381.430,-1376.375,-1.485,38.054,-944.333,0.042
-5380.671,-1390.968,-1.483,40.275,-955.682,0.049
-5379.665,-1405.917,-1.482,44.703,-969.027,0.057
-5379.242,-1420.926,-1.480,42.483,-981.025,0.065
-5378.989,-1435.903,-1.478,38.842,-990.930,0.069
-5378.439,-1451.153,-1.476,38.791,-1002.196,0.079
-5377.601,-1466.812,-1.473,41.714,-1016.007,0.098
-5377.069,-1482.212,-1.470,41.057,-1025.124,0.110
-5376.523,-1497.584,-1.468,40.636,-1032.619,0.112
-5375.810,-1513.044,-1.467,42.004,-1039.907,0.111
-5374.940,-1528.623,-1.465,44.783,-1047.353,0.116
-5374.238,-1544.180,-1.463,45.424,-1053.476,0.111
-5373.469,-1559.554,-1.463,46.658,-1056.819,0.098
-5372.601,-1574.766,-1.463,48.733,-1057.996,0.088
-5371.695,-1590.364,-1.463,50.897,-1062.974,0.073
-5370.662,-1605.975,-1.463,54.040,-1067.354,0.062
-5369.728,-1621.591,-1.464,55.716,-1071.140,0.044
-5368.620,-1637.259,-1.464,58.926,-1074.916,0.031
-5367.330,-1652.990,-1.465,63.534,-1078.774,0.017
-5366.104,-1668.605,-1.467,66.817,-1080.876,0.002
-5364.826,-1684.308,-1.468,70.145,-1083.574,-0.010
-5363.623,-1700.148,-1.470,72.213,-1087.276,-0.027
-5362.401,-1715.899,-1.471,74.171,-1089.528,-0.038
-5361.322,-1731.634,-1.472,74.376,-1091.284,-0.039
